product_category,product,number of transactions
Banh,Banh Khot,745
Banh,Banh Trang Nuong,902
Bun,Bun Dau Mam Tom,1073
Bun,Bun Oc,370
Coffee,Ca Phe Sua Da,552
Frozen,Kem Xoi,888
Grilled,Bo Nuong La Lot,192
Hot Pot,Lau Nam,157
Juice,Nuoc Chanh,588
Juice,Nuoc Mia,724
Noodles,Bun Cha,382
Noodles,Bun Rieu,875
Noodles,Bun Thit Nuong,182
Noodles,Hu Tieu Nam Vang,1535
Noodles,Pho Ga,727
Pastry,Banh Pia,510
Rice,Com Ga,563
Rice,Com Tam,507
Rice Cake,Banh Beo,364
Rice Cake,Banh Xeo,531
Salad,Goi Ga,1298
Sandwich,Banh Mi Cha Ca,193
Sandwich,Banh Mi Thit,520
Seafood,Goi Cuon,386
Skewers,Nem Nuong,374
Smoothie,Sinh To Bo,185
Smoothie,Sinh To Xoai,877
Sweet Soup,Che Ba Mau,343
Sweet Soup,Che Troi Nuoc,544
Tea,Tra Da,572
Xoi,Xoi Ga,541
